Category Code,Category Label
11202011,"Coffee, cappuccino, from ground coffee beans, with reduced fat soy milk"
11202012,"Coffee, cappuccino, from ground coffee beans, with rice milk"
11202013,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk"
11202014,"Coffee, flat white or latte, from ground coffee beans, double shot, with regular fat cows milk"
11202015,"Coffee, flat white or latte, from ground coffee beans, with reduced fat cows milk"
11202016,"Coffee, flat white or latte, from ground coffee beans, double shot, with reduced fat cows milk"
11202017,"Coffee, flat white or latte, from ground coffee beans, with skim cows milk"
11202018,"Coffee, flat white or latte, from ground coffee beans, double shot, with skim cows milk"
11202019,"Coffee, flat white or latte, from ground coffee beans, with cows milk not further defined"
11202020,"Coffee, flat white or latte, from ground coffee beans, with regular fat soy milk"
11202021,"Coffee, flat white or latte, from ground coffee beans, with reduced fat soy milk"
11202022,"Coffee, cappuccino, flat white or latte, from ground coffee beans, double shot, with cows milk not further defined"
11202023,"Coffee, cappuccino, flat white or latte, from ground coffee beans, double shot, with soy milk not further defined"
11202024,"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with regular fat cows milk"
11202025,"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with reduced fat cows milk"
11202026,"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with skim cows milk"
11202027,"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with soy milk not further defined"
11202028,"Coffee, macchiato, from ground coffee beans, with regular fat cows milk"
11202029,"Coffee, macchiato, from ground coffee beans, with reduced fat cows milk"
11202030,"Coffee, macchiato, from ground coffee beans, with skim cows milk"
11202031,"Coffee, macchiato, from ground coffee beans, with cows milk not further defined"
11202032,"Coffee, macchiato, from ground coffee beans, with soy milk not further defined"
11202033,"Coffee, mocha, from ground coffee beans, with regular fat cows milk"
11202034,"Coffee, mocha, from ground coffee beans, with reduced fat cows milk"
11202035,"Coffee, mocha, from ground coffee beans, with skim cows milk"
11202036,"Coffee, mocha, from ground coffee beans, with cows milk not further defined"
11202037,"Coffee, mocha, from ground coffee beans, double shot, with cows milk not further defined"
11202038,"Coffee, mocha, from ground coffee beans, with soy milk not further defined"
11202039,"Coffee, from ground coffee beans, with regular fat coffee whitener"
11202040,"Coffee, not further defined"
11203,"Coffee beverage, decaffeinated, prepared with water"
11203001,"Coffee, espresso style, decaffeinated, without milk"
11203002,"Coffee, black, from instant coffee powder, decaffeinated, without milk"
11203003,"Coffee, long black style, from ground beans, decaffeinated, without milk"
11204,"Coffee beverage, decaffeinated, prepared with milk or milk substitute"
11204001,"Coffee, white, from instant coffee powder, decaffeinated, made up with cows milk not further defined"
11204002,"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with regular fat cows milk"
11204003,"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with reduced fat cows milk"
11204004,"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with skim cows milk"
11204005,"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with soy milk not further defined"
11204006,"Coffee, macchiato, from ground coffee beans, decaffeinated, with regular fat cows milk"
11204007,"Coffee, macchiato, from ground coffee beans, decaffeinated, with reduced fat cows milk"
11204008,"Coffee, mocha, from ground coffee beans, decaffeinated, with regular fat cows milk"
11204009,"Coffee, mocha, from ground coffee beans, decaffeinated, with reduced fat cows milk"
11205,"Dry coffee powder, caffeinated or decaffeinated"
11205001,"Coffee, instant, dry powder or granules"
11205002,"Coffee, instant, dry powder or granules, decaffeinated"
11206,"Coffee substitutes, beverage"
11206001,"Coffee, prepared from coffee substitute powder & water, no added milk"
11207,"Coffee substitutes, powders and bases"
11207001,"Coffee substitute, cereal beverage, dry powder or granules"
11207002,"Coffee & chicory essence, concentrate"
11208,"Coffee-based mixes, beverage"
11208001,"Coffee, prepared from coffee mix with sugar & whitener, no added milk"
11208002,"Coffee, prepared from coffee mix with intense sweetener & whitener, no added milk"
11208003,"Coffee, prepared from decaffeinated coffee mix with sugar & whitener, no added milk"
11208004,"Coffee, prepared from coffee mix, not further defined, no added milk"
11208005,"Coffee, prepared from coffee & milk concentrate, no added milk"
11209,Dry or concentrate coffee-based mixes
11209001,"Coffee mix, with beverage whitener & sugar, dry powder"
11209002,"Coffee mix, with beverage whitener & intense sweetener, dry powder"
11209003,"Coffee mix, with beverage whitener & sugar, decaffeinated, dry powder"
11209004,Coffee & milk concentrate
11209005,"Coffee whitener, dry powder"
113,"Fruit and vegetable juices, and drinks"
11301,"Fruit juices, commercially prepared"
11301001,"Juice, apple, commercial"
11301004,"Juice, apple, sparkling, commercial"
11301007,"Juice, apple & blackcurrant, commercial"
11301008,"Juice, apple & forest fruits, commercial"
11301009,"Juice, apple & mango, commercial"
11301010,"Juice, fruit blend, 45% orange juice & 55% apple, pineapple & other juices, commercial"
11301011,"Juice, goji, commercial"
11301012,"Juice, grape, commercial"
11301014,"Juice, grapefruit, commercial"
11301015,"Juice, lemon, commercial"
11301016,"Juice, orange, commercial"
11301021,"Juice, orange, commercial, concentrate only"
11301022,"Juice, orange & mango, commercial"
11301023,"Juice, pear, commercial"
11301024,"Juice, pineapple, commercial"
11301027,"Juice, pomegranate, commercial"
11301028,"Juice, prune, commercial"
11301029,"Juice, tropical, commercial"
11301030,"Juice, fruit, commercial, not further defined"
11301031,"Juice, commercial, not further defined"
11301032,"Smoothie, fruit juice based, added berries"
11301033,"Smoothie, fruit juice based, added mixed fruit"
11301034,"Smoothie, fruit juice based, added mixed fruit & nuts or seeds"
11302,"Fruit juices, freshly-squeezed"
11302001,"Juice, apple, home squeezed"
11302002,"Juice, apple & berries, home squeezed"
11302003,"Juice, fruit blend, home squeezed"
11302004,"Juice, lemon, home squeezed"
11302005,"Juice, lime, commercial or home squeezed"
11302006,"Juice, orange, home squeezed"
11303,"Fruit juices, fortified"
11303001,"Juice, apple, commercial, added vitamins C, E & folate & fibre"
11303002,"Juice, fruit blend, 70% apple juice & 30% orange, grape & other juices, commercial, added vitamins A, C & folate"
11303003,"Juice, fruit blend, 60% orange juice & 40% apple & pineapple juices, commercial, added Ca & vitamin C"
11303004,"Juice, fruit blend, 60% orange juice & 40% apple & pineapple juices, commercial, added vitamin C & folate"
11303005,"Juice, fruit blend, 60% orange juice & 40% apple & pineapple juices, commercial, added fibre & vitamin C"
11303006,"Juice, fruit blend, 60% orange juice, 20% apple juice & other juices, commercial, added vitamins A, C & E"
11303007,"Juice, fruit blend, with added vitamin A & C & herbal extracts"
11303008,"Juice, fruit blend, breakfast, commercial, not further defined"
11303009,"Juice, orange, commercial, added Ca & vitamins A, C & folate"
11304,Vegetable juices
11304001,"Juice, aloe vera, commercial"
11304002,"Juice, carrot, commercial"
11304003,"Juice, celery, commercial"
11304004,"Juice, tomato, commercial"
11304007,"Juice, vegetable blend, tomato, carrot, celery & parsley, commercial"
11304008,"Juice, vegetable, commercial, not further defined"
11304009,"Juice, wheatgrass, commercial"
11305,"Vegetable juices, freshly squeezed"
11305001,"Juice, carrot, home squeezed"
11305002,"Juice, vegetable blend, home squeezed"
11306,Fruit and vegetable juice blends
11306001,"Juice, fruit & vegetable blend, apple, berries, beetroot & carrot, commercial"
11306002,"Juice, fruit & vegetable blend, apple, carrot, mango, orange, pineapple & passionfruit, commercial, added fibre & vitamin C"
11306003,"Juice, fruit & vegetable blend, home squeezed, not further defined"
11307,Fruit drinks (ready to drink or made from concentrate)
11307001,"Fruit drink, apple juice, commercial"
11307004,"Fruit drink, apple & blackcurrant, commercial"
11307005,"Fruit drink, apple & mango, commercial"
11307006,"Fruit drink, apricot juice, commercial"
11307007,"Fruit drink, blackcurrant, commercial"
11307008,"Fruit drink, cranberry, commercial"
11307009,"Fruit drink, cranberry & blackcurrant, commercial"
11307010,"Fruit drink, guava, commercial"
11307011,"Fruit drink, lemon or lime juice, commercial"
11307012,"Fruit drink, mango, commercial"
11307013,"Fruit drink, orange juice, commercial"
11307017,"Fruit drink, orange & mango juices, commercial"
11307018,"Fruit drink, pineapple juice, commercial"
11307019,"Fruit drink, tropical style, commercial"
11308,Vegetable drinks
11308001,"Fruit drink, aloe vera, commercial"
11309,"Fruit drink, prepared from dry powder"
11309001,"Fruit drink, from dry base, regular, recommended dilution"
114,Cordials
11401,"Cordials, made from concentrate"
11401001,"Cordial, apple & berry, regular, stronger than recommended dilution"
11401002,"Cordial, apple & berry, regular, recommended dilution"
11401003,"Cordial, apple & berry, regular, weaker than recommended dilution"
11401004,"Cordial, blackcurrant juice, regular, stronger than recommended dilution"
11401005,"Cordial, blackcurrant juice, regular, recommended dilution"
11401006,"Cordial, blackcurrant juice, regular, weaker than recommended dilution"
11401007,"Cordial, fruit cup or tropical, regular, stronger than recommended dilution"
11401008,"Cordial, fruit cup or tropical, regular, recommended dilution"
11401009,"Cordial, fruit cup or tropical, regular, weaker than recommended dilution"
11401010,"Cordial, ginger, regular, recommended dilution"
11401011,"Cordial, lemon, regular, recommended dilution"
11401012,"Cordial, lemon, regular, weaker than recommended dilution"
11401013,"Cordial, lime or green, regular, stronger than recommended dilution"
11401014,"Cordial, lime or green, regular, recommended dilution"
11401015,"Cordial, lime or green, regular, weaker than recommended dilution"
11401016,"Cordial, orange or orange & mango, regular, stronger than recommended dilution"
11401017,"Cordial, orange or orange & mango, regular, recommended dilution"
11401018,"Cordial, orange or orange & mango, regular, weaker than recommended dilution"
11402,"Cordials, made from concentrate, intense sweetened"
11402001,"Cordial, apple & berry, intense sweetened or diet, recommended dilution"
11402002,"Cordial, blackcurrant juice, intense sweetened or diet, recommended dilution"
11402003,"Cordial, fruit cup or tropical, intense sweetened, recommended dilution"
11402004,"Cordial, lemon, intense sweetened or diet, recommended dilution"
11402005,"Cordial, lime or green, intense sweetened or diet, recommended dilution"
11402006,"Cordial, orange or orange & mango, intense sweetened or diet, recommended dilution"
11403,Cordial concentrate
11403001,"Cordial base, apple & berry, regular"
11403002,"Cordial base, blackcurrant juice, regular"
11403003,"Cordial base, fruit cup or tropical, regular"
11403004,"Cordial base, ginger, regular"
11403005,"Cordial base, grenadine syrup"
11403006,"Cordial base, lemon, regular"
11403007,"Cordial base, lime or green, regular"
11403008,"Cordial base, orange or orange & mango, regular"
11404,"Cordial concentrate, intense sweetened"
11404001,"Cordial base, apple & berry, intense sweetened or diet"
11404002,"Cordial base, blackcurrant juice, intense sweetened or diet"
11404003,"Cordial base, fruit cup or tropical, intense sweetened or diet"
11404004,"Cordial base, lemon, intense sweetened or diet"
11404005,"Cordial base, lime or green, intense sweetened or diet"
11404006,"Cordial base, orange or orange & mango, intense sweetened or diet"
115,"Soft drinks, and flavoured mineral waters"
11501,"Soft drinks, non-cola"
11501001,"Soft drink, creaming soda, regular"
11501002,"Soft drink, dry ginger ale or ginger beer, regular"
11501003,"Soft drink, grass jelly, all flavours"
11501004,"Soft drink, lemon flavour, regular"
11501005,"Soft drink, lemon, lime & bitters, regular"
11501006,"Soft drink, lemonade, regular"
11501007,"Soft drink, lemonade, regular, with added ice"
11501008,"Soft drink, lime flavour, regular"
11501009,"Soft drink, orange flavour, regular"
11501010,"Soft drink, orange flavour, regular, with added ice"
11501011,"Soft drink, passionfruit flavour, regular"
11501012,"Soft drink, raspberry flavour, regular"
11501013,"Soft drink, sarsaparilla, regular"
11501014,"Soft drink, tea flavour, regular"
11501015,"Soft drink, tonic water, regular"
11501016,"Soft drink, not further defined"
11501017,"Soft drink, ready to drink, added glucose & vitamin C (Lucozade)"
11501018,"Soft drink, frozen, non-cola flavours, regular"
11501019,"Soft drink, frozen, regular, not further defined"
11502,"Soft drinks, non-cola, intense sweetened"
11502001,"Soft drink, creaming soda, intense sweetened or diet"
11502002,"Soft drink, dry ginger ale or ginger beer, intense sweetened or diet"
11502003,"Soft drink, lemon flavour, intense sweetened or diet"
11502004,"Soft drink, lemonade, intense sweetened or diet"
11502005,"Soft drink, orange flavour, intense sweetened or diet"
11502006,"Soft drink, passionfruit flavour, intense sweetened or diet"
11502007,"Soft drink, raspberry flavour, intense sweetened or diet"
11502008,"Soft drink, other fruit flavours, intense sweetened or diet"
11502009,"Soft drink, tonic water, intense sweetened or diet"
11503,"Soft drinks, cola"
11503001,"Soft drink, cola flavour, regular"
11503002,"Soft drink, cola flavour, regular, with ice"
11503003,"Soft drink, cola flavour, regular, decaffeinated"
11503004,"Soft drink, frozen, cola flavour, regular"
11503005,"Spider, cola soft drink & ice cream"
11504,"Soft drinks, cola, intense sweetened"
11504001,"Soft drink, cola flavour, intense sweetened or diet"
11504002,"Soft drink, cola flavour, intense sweetened or diet, with added ice"
11504003,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated"
11505,Flavoured mineral waters
11505001,"Mineral water, citrus flavoured, regular"
11505002,"Mineral water, non-citrus flavoured, regular"
11506,"Flavoured mineral waters, intense sweetened"
11506001,"Mineral water, flavoured, intense sweetened or diet"
116,"Electrolyte, energy and fortified drinks"
11601,Electrolyte drinks (sports drinks)
11601001,"Sports drink, ready to drink, all flavours"
11601002,"Sports drink, ready to drink, sugar free, all flavours"
11601003,"Sports drink, prepared from dry powder, weaker than standard dilution, all flavours"
11602,Electrolyte drink bases (sport drink bases)
11602001,"Sports drink, dry powder, all flavours"
11603,Energy drinks
11603001,"Soft drink, energy drink, Hype"
11603002,"Soft drink, energy drink, Monster"
11603003,"Soft drink, energy drink, Mother"
11603004,"Soft drink, energy drink, Red Bull"
11603005,"Soft drink, energy drink, Red Eye"
11603006,"Soft drink, energy drink, Rockstar"
11603007,"Soft drink, energy drink, V"
11603008,"Soft drink, energy drink, not further defined"
11604,"Energy drinks, intense sweetened"
11604001,"Soft drink, energy drink, intense sweetened, Red Bull"
11604002,"Soft drink, energy drink, intense sweetened, V"
11604003,"Soft drink, energy drink, intense sweetened, XS sugar-free"
117,"Waters, municipal and bottled, unflavoured"
11701,"Domestic water (including tap, tank/rain water)"
11701001,"Water, bore"
11701002,"Water, filtered"
11701003,"Water, ice"
11701004,"Water, rainwater or tank water"
11701005,"Water, tap"
11702,Purchased packaged water including mineral water
11702001,"Mineral water, natural, plain or unflavoured"
11702002,"Water, bottled, still"
11702003,"Water, bottled, carbonated or soda water"
11703,"Purchased packaged water, fortified"
11703001,"Water, bottled, with added sugar, vitamins & minerals"
118,Other beverage flavourings and prepared beverages
11801,Fortified beverage flavourings prepared with water or milk
11801001,"Beverage, chocolate flavour, from original Milo powder, with cows milk"
11801002,"Beverage, chocolate flavour, from original Milo powder, with soy milk"
11801003,"Beverage, chocolate flavour, from Ovaltine powder, with cows milk"
11802,Fortified dry beverage flavourings
11802001,"Beverage base, chocolate flavour, added vitamins A & B3 & Fe"
11802002,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C, D & folate, Ca & Fe (Milo)"
11802003,"Beverage base, chocolate flavour, added vitamins A, B1, B2, B3, C, D & folate & Ca (Aktavite)"
11802004,"Beverage base, malt chocolate flavour, added vitamins A, B1, B2, C, D & folate, Ca & Fe (Milo malt)"
11802005,"Beverage base, malted milk powder, added vitamins A, B1, B2, B3, B6, B12, biotin, C, D E & folate, Ca & Zn"
11803,Unfortified beverage flavourings prepared with water or milk
11803001,"Beverage, chocolate flavour, from cocoa powder, with cows milk"
11803002,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk"
11803003,"Beverage, chocolate flavour, from drinking chocolate, with reduced fat cows milk"
11803004,"Beverage, chocolate flavour, from drinking chocolate, with skim cows milk"
11803005,"Beverage, chocolate flavour, from drinking chocolate, with soy milk"
11803006,"Beverage, chocolate flavour, from drinking chocolate, with water"
11804,Unfortified dry beverage flavourings
11804001,Cocoa powder
11804002,"Beverage base, banana flavour (Nesquik brand)"
11804003,"Beverage base, chocolate flavour, unfortified (Nesquik brand)"
11804004,"Beverage base, drinking chocolate, unfortified"
11804005,"Beverage base, malted milk powder, unfortified"
11804006,"Beverage base, strawberry flavour, unfortified (Nesquik brand)"
11804007,"Beverage base, strawberry flavour, from drinking straw, containing added sugar & intense sweetener, unfortified"
11805,Breakfast cereal beverages
11805001,"Breakfast cereal, beverage, chocolate flavour, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca"
11805002,"Breakfast cereal, beverage, chocolate flavour, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca & Fe"
11805003,"Breakfast cereal, beverage, non-chocolate flavours, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca"
11805004,"Breakfast cereal, beverage, non-chocolate flavours, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca & Fe"
11805005,"Breakfast cereal, beverage, non-chocolate flavours, natural sweetener, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca"
11805006,"Breakfast cereal, beverage, not further defined"
11806,Other beverages
11806001,"Drink, probiotic, contains milk solids & sugar"
11806002,"Drink, probiotic, contains milk solids & sugar, intense sweetened"
12,Cereals and cereal products
121,Flours and other cereal grains and starches
12101,Grains (other than rice) and grain fractions
12101001,"Barley, pearl, uncooked"
12101002,"Barley, pearl, cooked in water, no added fat or salt"
12101003,"BarleyMax, dry, uncooked"
12101004,"Buckwheat groats, uncooked"
12101005,"Buckwheat groats, cooked in water, no added salt"
12101006,"Bulgur (burghul, burgaul), dry, uncooked"
12101007,"Bulgur (burghul, burgaul), soaked in water, no added fat or salt"
12101008,"Bulgur (burghul, burgaul), cooked in water, no added fat or salt"
12101009,"Cornmeal (polenta), uncooked"
12101010,"Cornmeal (polenta), cooked in water, no added salt"
12101011,"Cornmeal (polenta), cooked in water & fat, no added salt"
12101014,"Millet, uncooked"
12101015,"Millet, boiled in water, no added fat or salt"
12101016,"Oat bran, unprocessed, uncooked"
12101017,"Oats, rolled, uncooked"
12101018,"Oats, rolled, uncooked, added fibre & Ca"
12101019,"Quinoa, uncooked"
12101020,"Quinoa, cooked in milk, no added salt"
12101021,"Quinoa, cooked in water, no added salt"
12101022,"Quinoa, cooked in water & fat, no added salt"
12101023,"Rice, wild, uncooked"
12101024,"Rice, wild, boiled, no added salt"
12101025,"Rye, uncooked"
12101026,"Rye, grains, cooked in water"
12101027,"Sago, dry, uncooked"
12101028,"Sago, cooked in milk, no added salt"
12101029,"Sago, cooked in water, no added salt"
12101030,"Spelt, uncooked"
12101031,"Wheat bran, unprocessed, uncooked"
12101032,Wheat germ
12102,Rice and rice grain fractions
12102001,"Rice bran, extruded or low processed, uncooked"
12102002,"Rice, white, uncooked"
12102003,"Rice, white, boiled, no added salt"
12102004,"Rice, white, steamed or rice cooker, no added salt"
12102005,"Rice, white, boiled, steamed or microwaved with coconut milk"
12102006,"Rice, white, purchased par-cooked or instant, cooked"
12102007,"Rice, brown, uncooked"
12102008,"Rice, brown, boiled, no added salt"
12102009,"Rice, brown, purchased par-cooked or instant, cooked"
12102010,"Rice, flavoured, instant dry mix"
12102011,"Rice, flavoured, prepared from dry mix"
12102012,"Rice, purchased as parboiled (gold rice), uncooked"
12102013,"Rice, purchased as parboiled (gold rice), boiled, no added salt"
12102014,"Rice, red, steamed or rice cooker, no added salt"
12103,Cereal flours and starches
12103001,"Couscous, uncooked"
12103002,"Couscous, cooked in water, no added fat or salt"
12103003,"Couscous, cooked in water & fat, no added salt"
12103004,"Custard powder, dry mix, commercial"
12103005,"Flour, arrowroot"
12103006,"Flour, cornflour, from maize starch"
12103007,"Flour, cornflour, from maize & wheat starch"
12103008,"Flour, gluten free mix (rice, soy, corn & tapioca)"
12103009,"Flour, rice"
12103010,"Flour, rye, wholemeal"
12103011,"Flour, spelt"
12103012,"Flour, wheat, white, plain"
12103013,"Flour, wheat, white, self-raising"
12103014,"Flour, wheat, wholemeal, plain"
12103015,"Flour, wheat, wholemeal, self-raising"
12103016,"Gluten, from wheat (vital wheat gluten)"
12103017,"Rice paper wrapper, soaked in water"
12103018,"Semolina, uncooked"
12103019,"Semolina, cooked in cows milk, no added salt"
12103020,"Semolina, cooked in water, no added salt"
12103021,"Tapioca, pearl or seed style, uncooked"
12103022,"Tapioca, seed or pearl style, boiled in water, no added fat or salt"
12104,"Cereal flours and starches, fortified"
12104001,"Flour, wheat, white, high protein or bread making flour"
12104002,"Flour, wheat, white, self-raising, added calcium & folate"
122,"Regular breads, and bread rolls (plain/unfilled/untopped varieties)"
12201,"Breads, and bread rolls, white, mandatorily fortified"
12201001,"Bagel, from white flour, commercial"
12201002,"Bagel, from white flour, commercial, toasted"
12201003,"Breadcrumbs, white"
12201004,"Bread, croutons, commercial or homemade"
12201005,"Bread, damper, from white flour, commercial"
12201006,"Bread, damper, from white flour, commercial, toasted"
12201007,"Bread, focaccia, plain, commercial"
12201008,"Bread, focaccia, plain, commercial, toasted"
12201009,"Bread, from spelt flour, commercial"
12201010,"Bread, from spelt flour, commercial, toasted"
12201011,"Bread, from white flour, commercial"
12201012,"Bread, from white flour, commercial, toasted"
12201013,"Bread, from white flour, commercial, low GI"
12201014,"Bread, from white flour, commercial, low GI, toasted"
12201015,"Bread, from white flour, chia seeds, commercial"
12201016,"Bread, from white flour, chia seeds, commercial, toasted"
12201017,"Bread, from white flour, ciabatta, commercial"
12201018,"Bread, from white flour, ciabatta, commercial, toasted"
12201019,"Bread, from white flour, French stick or baguette, commercial"
12201020,"Bread, from white flour, French stick or baguette, commercial, toasted"
12201021,"Bread, from white flour, pane di casa, commercial"
12201022,"Bread, from white flour, pane di casa, commercial, toasted"
12201023,"Bread, from white flour, sour dough, commercial"
12201024,"Bread, from white flour, sour dough, commercial, toasted"
12201025,"Bread roll, from white flour, commercial"
12201026,"Bread roll, from white flour, commercial, toasted"
12201027,"Bread roll, from white flour, fast food style"
12201028,"Bread or bread roll, Turkish, plain, commercial"
12201029,"Bread or bread roll, Turkish, plain, commercial, toasted"
12202,"Breads, and bread rolls, white, additional voluntary fortification"
12202001,"Bread, from white flour, commercial, added calcium"
12202002,"Bread, from white flour, commercial, added calcium, toasted"
12202003,"Bread, from white flour, commercial, added fibre"
12202004,"Bread, from white flour, commercial, added fibre, toasted"
12202005,"Bread, from white flour, commercial, added fibre & vitamins B1, B3, B6 & E, Fe & Zn"
12202006,"Bread, from white flour, commercial, added fibre & vitamins B1, B3, B6 & E, Fe & Zn, toasted"
12202007,"Bread, from white flour, commercial, added iron"
12202008,"Bread, from white flour, commercial, added iron, toasted"
12202009,"Bread, from white flour, commercial, added omega-3 polyunsaturates"
12202010,"Bread, from white flour, commercial, added omega-3 polyunsaturates, toasted"
12203,"Breads, and bread rolls, white, not stated as to fortification"
12203001,"Bread, damper, from white flour, homemade from basic ingredients"
12203002,"Bread, flat, injera"
12203003,"Bread, from white flour, organic, commercial"
12203004,"Bread, from white flour, organic, commercial, toasted"
12203005,"Bread, from white flour, sour dough, homemade from basic ingredients"
12203006,"Bread, from white flour, sour dough, homemade from basic ingredients, toasted"
12203007,"Bread, from white flour, homemade from basic ingredients, added salt"
12203008,"Bread, from white flour, homemade from basic ingredients, added salt, toasted"
12203009,"Bread, from white flour, commercial, fresh, not further defined"
12203010,"Bread, from white flour, commercial, toasted, not further defined"
12203011,"Bread, from white flour, for homemade sandwiches"
12203012,"Bread, from white flour, for homemade sandwiches, toasted"
12203013,"Bread, from white or wholemeal flour, organic, commercial"
12203014,"Bread, from white or wholemeal flour, organic, commercial, toasted"
12203015,"Bread, Naan, commercial"
12203016,"Bread, Naan, homemade"
12203017,"Bread, paratha"
12203018,"Bread, pizza base, commercial"
12203021,"Bread, pizza base, homemade from basic ingredients"
12203022,"Bread, pumpkin"
12203023,"Bread, pumpkin, toasted"
12204,"Breads, and bread rolls, mixed grain, mandatorily fortified"
12204001,"Bread, mixed grain, commercial"
12204002,"Bread, mixed grain, commercial, toasted"
12204003,"Bread, mixed grain, added seeds, commercial"
12204004,"Bread, mixed grain, added seeds, commercial, toasted"
12204005,"Bread, mixed grain, extra grainy & seeds, added pumpkin seeds, commercial"
12204006,"Bread, mixed grain, extra grainy & seeds, added pumpkin seeds, commercial, toasted"
12204007,"Bread, mixed grain, French stick or baguette, commercial"
12204008,"Bread, mixed grain, French stick or baguette, commercial, toasted"
12204009,"Bread, mixed grain, commercial, fresh, not further defined"
12204010,"Bread, mixed grain, commercial, toasted, not further defined"
12204011,"Bread, mixed grain, for sandwiches purchased from a cafe, takeaway shop or canteen"
12204012,"Bread, mixed grain, for sandwiches purchased from a cafe, takeaway shop or canteen, toasted"
12204013,"Bread, from white flour, extra grainy & seeds, commercial"
12204014,"Bread, from white flour, extra grainy & seeds, commercial, toasted"
12204015,"Bread, soy & linseed, commercial"
12204016,"Bread, soy & linseed, commercial, toasted"
12204017,"Bread roll, mixed grain, commercial"
12204018,"Bread roll, mixed grain, commercial, toasted"
12205,"Breads, and bread rolls, mixed grain, additional voluntary fortification"
12206,"Breads, and bread rolls, mixed grain, not stated as to fortification"
12206001,"Bread, from white or wholemeal flour, organic, added grains, commercial"
12206002,"Bread, from white or wholemeal flour, organic, added grains, commercial, toasted"
12206003,"Bread, mixed grain, homemade from basic ingredients, added salt"
12206004,"Bread, mixed grain, homemade from basic ingredients, added salt, toasted"
12206005,"Bread, mixed grain, for homemade sandwiches"
12206006,"Bread, mixed grain, for homemade sandwiches, toasted"
